case_id,case_title,case_text,case_outcome
Case53,ACCC v Real Estate Institute (WA) [1999] FCA 1387 ; (1999) 95 FCR 114,"It is implicit in Merkel J's judgment that an injunction under s 80 may extend beyond the specific conduct proven to constitute a contravention by s 80 and may, in appropriate cases, extend to conduct of the same kind or class. There must, however, be a sufficient nexus or relationship between the conduct that is the subject of the restraint and the conduct that was alleged to constitute a contravention of the Act . As French J pointed out in ACCC v Real Estate Institute (WA) [1999] FCA 1387 ; (1999) 95 FCR 114 at 131, the question whether there is a sufficient nexus between the orders sought and the contraventions alleged involves an evaluative judgment by the Court which will depend heavily upon the circumstances of the particular case.",cited
Case55,Australian Securities and Investments Commission v Takaran Pty Ltd (No 2) (2003) 194 ALR 743,"In ASIC v Takaran Pty Ltd (No 2) (2003) 194 ALR 743 at 747-748, at [15], Barrett J made the following observation, with which I agree: ""The fact that a scheme is being operated by its existing operators in contravention of statute activates a public interest in favour of not only its being wound up under s 601EE ( Australian Securities and Investments Commission v McNamara (2002) 42 ACSR 488) but also 'ensuring the transparency of the winding up process and the safeguarding of the rights of the contributories' by committing the winding up to an independent party ( Bells Securities Pty Ltd v LPG Mourant [2002] QSC 156 ; BC200202989 per Wilson J; see also Australian Securities and Investments Commission v Product Management Group Pty Ltd (2002) 42 ACSR 343).""",cited
Case56,Australian Securities and Investment Commission v Chase Capital Management Pty Ltd (2001) 36 ACSR 778,"ASIC does not seek an order that BTS be wound up, even though there is some evidence that it might be insolvent. In many cases, it may be appropriate, and it may further investor protection, to make winding up orders in respect of both the unregistered managed investment scheme and the company which administered the scheme: see Pegasus at 579-580, at [95] [98]. Indeed, in Australian Securities and Investment Commission v Chase Capital Management Pty Ltd (2001) 36 ACSR 778 at 796, Owen J said at [93] that if an unregistered scheme is to be wound up, the case for a liquidation of the company that conducted it is compelling.",cited
Case58,Commonwealth Bank of Australia v Gargan [2004] FCA 707 ; (2004) 140 FCR 1,"Insofar as the argument is advanced based upon s 13 of the Crimes Act 1914 (Cth), that is, on the common informer provisions, I respectfully adopt what was said by Hely J in Commonwealth Bank of Australia v Gargan [2004] FCA 707 ; (2004) 140 FCR 1 , where his Honour dismissed the same argument. I should note for completeness that at [11] Hely J relied upon what Adams J had said in Gargan v Scott (unreported, Supreme Court of New South Wales, 27 October 2003) and I respectfully adopt what Adams J said at [4]. I do not think that the argument based upon s 13 has any substance whatsoever.",applied
Case61,Gye v McIntyre [1991] HCA 60 ; (1991) 171 CLR 609,"However, if authority were needed, the Full Court of this Court has decided in Heinrich v Commonwealth Bank of Australia [2001] FCA 661 that Mr Gargan's argument was unsound. I note that Mr Gargan had some involvement in that case. I refer particularly to [7], [8] and [19]. Nothing in Gye v McIntyre [1991] HCA 60 ; (1991) 171 CLR 609 , in my opinion, provides any succour whatsoever to the notion that s 86 imposes affirmative duties. For that reason, I do not think that such a negligence claim, even if articulated, has prospects. In any event, the only real way the claim could currently be formulated would be pursuant to ss 178 and 179 of the Bankruptcy Act 1966 (Cth).",considered
Case69,Barton v Croner Trading Pty Ltd (1984) 3 FCR 95,"My own view is that s 21R confers a power to appoint, not a power to make, grant or issue any instrument. Section 21R does not talk in terms of the relevant act (the appointment) being made ""by"" or ""pursuant to"" any form of writing, but confers a power to make a decision to appoint, which incidentally to that decision, is to be in writing: see discussion in Re Brian Lawlor Automotive Pty Ltd and Collector of Customs (NSW) (1978) 1 ALD 167 at 172; affirmed by the Full Court in Collector of Customs (NSW) v Brian Lawlor Automotive Pty Ltd (1979) 24 ALR 307; Barton v Croner Trading Pty Ltd (1984) 3 FCR 95 at 110; and Edenmead Pty Ltd v Commonwealth (1984) 4 FCR 348 at 352-353.",cited
Case79,Nguyen v Minister for Health and Ageing [2002] FCA 1241,"The applicants relied upon the decisions in Nguyen v Minister for Health and Ageing [2002] FCA 1241 and Registrar for Liquor Licences v Iliadis (1988) 19 FCR 311 in support of the proposition that an implied power to revoke or suspend an appointment should not be construed as capable of being exercised with less constraints than the express power to appoint. These cases do not assist in the interpretation of the power to suspend or remove as conferred by s 21R as affected by s 33(4) of the Acts Interpretation Act , and do not stand for the broad proposition contended for by the applicants.",considered
Case86,Australian Postal Commission v Hayes (1989) 87 ALR 283,"It may be accepted as a general statement of principle that if directions are given by a court or tribunal that have the effect of fettering cross-examination so that a witness's evidence on relevant issues cannot be properly tested, there is a denial of procedural fairness. But it must be emphasised that this proposition is subject to the discretion of the decision maker to control cross-examination so as to ensure relevance and to guard against repetition and prolixity; see R v Australian Broadcasting Tribunal; Ex parte Hardiman [1980] HCA 13 ; (1980) 144 CLR 13 at 34-35; Australian Postal Commission v Hayes (1989) 87 ALR 283 at 289 per Wilcox J.",cited
Case87,Australian Securities and Investments Commission v Saxby Bridge Financial Planning Pty Limited [2003] FCAFC 244 ; (2003) 133 FCR 290,"Whilst not opposed to the filing of the supplementary notice, CRS points out that many of the seventeen questions stated in the original and supplementary notice do not state questions of law; see TNT Skypak International (Aust) Pty Limited v Federal Commissioner of Taxation (1988) 82 ALR 175 at 178; Birdseye v Australian Securities and Investments Commission (2003) 76 ALD 321 at [11]; Australian Securities and Investments Commission v Saxby Bridge Financial Planning Pty Limited [2003] FCAFC 244 ; (2003) 133 FCR 290 at [42] .",cited
Case91,"Lawrance v President, Administrative Appeals Tribunal [2006] FCA 342","Most of the background facts, as well as the decision of Senior Member Kelly, have been set out in my judgment in matter NSD 55 of 2005, handed down contemporaneously with this judgment; see Lawrance v President, Administrative Appeal Tribunal [2006] FCA 342. 5 It is necessary to add only briefly to what I have already said about the background and the decision under appeal. 6 In her request for documents under the FOI Act dated 23 February 2004, the applicant explained that whilst she had ""never been aware or conscious of having had CRS involvement in any aspect of my employment or my life"", she came to believe ""with hindsight"" that there had been some sort of involvement.",referred to
Case100,Australian Telecommunications Corporation v Lambroglou (1990) 12 AAR 515,"Comcare v Etheridge and Others [2006] FCAFC 27 ; (2006) 149 FCR 522 at 527 the Full Court considered the nature of an appeal under s 44(1) of the AAT Act and determined that an appeal 'on a question of law' is narrower than an appeal 'that merely involves a question of law' . The Court at 527 referred to the observations in Birdseye v Australian Securities and Investments Commission [2003] FCAFC 232 ; (2003) 38 AAR 55 which expressed approval of the observation of Ryan J in Australian Telecommunications Corporation v Lambroglou (1990) 12 AAR 515 at 527 where his Honour said: If the question, properly analysed, is not a question of law no amount of formulary like ""erred in law"" or ""was open as a matter of law"" can make it into a question of law.",referred to
Case105,Gedeon v Commissioner of New South Wales Crime Commission [2008] HCA 43 ; (2008) 82 ALJR 1465,"Gedeon v Commissioner of New South Wales Crime Commission [2008] HCA 43 ; (2008) 82 ALJR 1465 at [43] the High Court said: The expression ""jurisdictional fact"" was used somewhat loosely in the course of submissions. Generally the expression is used to identify a criterion the satisfaction of which enlivens the exercise of the statutory power or discretion in question. If the criterion be not satisfied then the decision purportedly made in exercise of the power or discretion will have been made without the necessary statutory authority required of the decision maker.",referred to
Case124,Shaw v Minister for Immigration and Multicultural Affairs [2003] HCA 72 ; (2003) 218 CLR 28,"In Shaw v Minister for Immigration and Multicultural Affairs [2003] HCA 72 ; (2003) 218 CLR 28 Gleeson CJ, Gummow and Hayne JJ (Heydon J agreeing at 87 [190]) said (at 35[2]) (footnote omitted): 'The power conferred by s 51(xix) supports legislation determining those to whom is attributed the status of alien; the Parliament may make laws which impose upon those having this status burdens, obligations and disqualifications which the Parliament could not impose upon other persons. On the other hand, by a law with respect to naturalisation, the Parliament may remove that status, absolutely or upon conditions. In this way, citizenship may be seen as the obverse of the status of alienage.'",considered
Case125,Smith v ANL Ltd [2000] HCA 58 ; (2000) 204 CLR 493,"I also agree with the respondent's second submission that in any event the degree of impairment of the applicant's rights with respect to the property is insufficient to attract the operation of s 51(xxxi). In Waterhouse v Minister for the Arts and Territories (1992) 43 FCR 175 the power of a Minister to grant or withhold a permit for an object to be exported to a purchaser under the Protection of Movable Cultural Heritage Act 1986 (Cth) was held to be an insufficient impairment of the rights of the owner of a valuable Australian painting to attract the operation of s 51(xxxi) (see the discussion of Black CJ and Gummow J at 180-185; Smith v ANL Ltd [2000] HCA 58 ; (2000) 204 CLR 493 per Gaudron and Gummow JJ at 505 [23]). In my opinion, similar reasoning can be applied here. The applicant is required to sell the property, but the class to whom she cannot sell the property is very limited (s 21A(7)).",cited
Case127,"Taylor, Re; Ex parte Natwest Australia Bank Ltd (1992) 37 FCR 194","A natural person may be a citizen of Australia or a non-citizen. In the case of a natural person who is a citizen, there is no definition in the Act of 'resident' or 'ordinarily'. There are a large number of cases which have examined the meaning of those words in various statutory contexts. It seems that the words are not terms of art and the question is one of fact and degree and that a person may have two places of residence: Re Vassis; Ex parte Leung (1986) 9 FCR 518 at 524-525 per Burchett J; Re Taylor; Ex parte Natwest Australia Bank Limited (1992) 37 FCR 194 at 197 per Lockhart J. The particular problem of a person possibly being ordinarily resident in two places does not arise here because the criterion in s 4(6) is 'not ordinarily in Australia'.",cited
Case128,The Queen v Australian Industrial Court; Ex parte CLM Holdings Pty Ltd [1977] HCA 6 ; (1977) 136 CLR 235,The drafting technique whereby s 21A is given an extended operation by s 4(6) is similar to that used in the Trade Practices Act 1974 (Cth) and considered by the High Court in The Queen v Australian Industrial Court; Ex parte CLM Holdings Pty Ltd [1977] HCA 6 ; (1977) 136 CLR 235. 14 The applicant is not within the definition of 'foreign person' within s 21A(1) of the Act . If s 21A applies to her it is by reason of the fact that she is a natural person not ordinarily resident in Australia within s 4(6)(a).,cited
Case133,XYZ v The Commonwealth [2006] HCA 25 ; (2006) 80 ALJR 1036,"In XYZ v The Commonwealth [2006] HCA 25 ; (2006) 80 ALJR 1036 the High Court considered the validity of provisions of the Crimes Act 1914 (Cth) which made it an offence for a person defined as an Australian citizen or a resident of Australia while outside Australia to engage in sexual intercourse with a person under 16 years of age, or to commit an act of indecency on a person under 16 years of age. By a majority of five to two, the Court held that the legislation was valid under the external affairs power. Of the majority, Gleeson CJ and Kirby J each wrote separate judgments and Gummow, Hayne and Crennan JJ prepared joint reasons. Callinan and Heydon JJ dissented.",considered
Case138,Adelmann &amp; Ham Boiler Corporation v Llanrwst Foundry Co (1928) 45 RPC 413,"GMCA submitted that both patents were but an ""attempt to re-design a known tool so as to achieve impermissibly, a patent monopoly over what is really a marketing idea"". The alleged invention, so the argument went, citing Maugham J in Adelmann &amp; Ham Boiler Corporation v Llanrwst Foundry Co (1928) 45 RPC 413 at 420, was simply the application of a well known and well understood piece of mechanism to achieve an obvious advantage. The mere ""positioning"" of the handle for a known tool in order to achieve a known result was not a manner of manufacture.",cited
Case139,Cleveland Graphite Bronze Co v Glacier Metal Co Ltd (1950) 67 RPC 149,"Claims must be determined in a practical and common sense manner: Nesbit v Impro at 95; Minnesota Mining at 274. In Cleveland Graphite Bronze Co v Glacier Metal Co Ltd (1950) 67 RPC 149 at 154 it was said that the claims must be as precise ""as the subject admits of"". The fact that Dr Stark had no problems on first reading is of significance. It is not the role of an independent expert to seek out difficulties or to read a patent with, to borrow an expression from administrative law, ""an eye keenly attuned to the perception of error"": Collector of Customs v Pozzolanic Enterprises Pty Ltd [1993] FCA 322 ; (1993) 43 FCR 280 at 287 quoted in Minister for Immigration and Ethnic Affairs v Wu Shan Liang [1996] HCA 6 ; (1996) 185 CLR 259 at 272. This episode reflects on Dr Stark's credibility as an independent expert. Generally I found Dr Stark lacked objectivity and detachment. He appeared keen to raise every conceivable argument in favour of the party which retained him.",cited
Case142,F Hoffman-La Roche &amp; Co v Commissioner of Patents [1971] HCA 3 ; (1971) 123 CLR 529,"The claims must be fairly based on the matter described in the specification: Patents Act s 40(3). The body of the specification must provide a ""real and reasonably clear disclosure"" of the invention claimed: F Hoffman-La Roche &amp; Co v Commissioner of Patents [1971] HCA 3 ; (1971) 123 CLR 529 at 539; Lockwood 1 at [69]. 33 GMCA submits that the claims are not fairly based. It says that the claims, in particular claim 1, are not limited to power saws but extend to all manner of power tools. They do not include ""essential features"" in the specification, viz the reciprocation frequency and stroke length ranges. They also refer to a ""plurality"" of positions whereas in fact there are only two. 34 Whatever may be the position in relation to claim 1, the claims from claim 3 onwards, and in particular the critical claim 6, are clearly confined to power saws.",cited
Case144,General Tire &amp; Rubber Co v Firestone Tyre and Rubber Co Ltd [1972] RPC 457,"In the case of an anticipation in documentary form, the document must contain ""clear and unmistakable directions to do what the patentee claims to have invented"": General Tire &amp; Rubber Co v Firestone Tyre and Rubber Co Ltd [1972] RPC 457 at 486. 44 Although GMCA originally pleaded some 22 anticipations, by trial these had been reduced to 13. In final submissions only seven were relied on. The general comment can be made that although some of the devices could perhaps as a matter of physical possibility be used as a jigsaw there was no clear direction that this was their intended use. 45 This device was in evidence and is also described in the Bosch 1993/94 Catalogue. It is described as a ""multisaw"" and is pictured as being used in panel saw mode. There are photographs of various blade accessories such as a rasp, file and various brushes and also the statement: ""In addition, the Bosch jigsaw accessory range is available for the multisaw"".",cited
Case145,Grant v Commissioner of Patents (2006) 69 IPR 221,"Much of this argument overlapped with GMCA's case on description, utility, novelty and obviousness. To the extent that it did not, it must be rejected. The alleged invention did not involve an abstract idea, like that considered in Grant v Commissioner of Patents (2006) 69 IPR 221. It concerned machines and their operation and thus ""something of a corporeal and substantial nature"": R v Wheeler (1819) 2 B &amp; Ald 345 at 350, cited in Lockwood Security Products Pty Ltd v Doric Products Pty Ltd (No 2) [2007] HCA 21 ; (2007) 72 IPR 447 at [66] ( Lockwood 2 ).",referred to
Case148,Lockwood Security Products Pty Ltd v Doric Products Pty Ltd [2004] HCA 58 ; (2004) 217 CLR 274,"GMCA say that the specification ""does not explain how [counsel's emphasis] the major vector element contributes to the achievement of the invention (which is said to be a useful tool)"". Reliance was placed on a passage in Lockwood Security Products Pty Ltd v Doric Products Pty Ltd [2004] HCA 58 ; (2004) 217 CLR 274 at [99] ( Lockwood 1 ). However, that passage is not in point. It is in the context of a fair basing argument and says that a claim cast in the form of a consistory clause is not fairly based if other parts of the specification show that the invention is narrower than that consistory clause. The inquiry, their Honours stress, is into what the body of the specification read as a whole discloses as the invention.",cited
Case173,Cox v Journeaux (No 2) [1935] HCA 48 ; (1935) 52 CLR 713,"In Cox v Journeaux (No 2) [1935] HCA 48 ; (1935) 52 CLR 713 , Dixon J (as his Honour then was) considered the meaning of personal injury or wrong done to the bankrupt within s 63(3) of the Bankruptcy Act 1924-1933 (Cth). His Honour applied Wilson v United Counties Bank Ltd [1920] AC 102 and described (at 721) the relevant test in the following terms: The test appears to be whether the damages or part of them are to be estimated by immediate reference to pain felt by the bankrupt in respect of his mind, body or character and without reference to his rights of property.",referred to
Case178,Rana v University of South Australia [2007] FCA 816,"The trial of the earlier proceeding was held on 5 and 6 October 2006. On 31 May 2007, I made an order that the proceeding be dismissed and I delivered reasons for judgment: Rana v University of South Australia [2007] FCA 816. I will refer to those reasons as the earlier judgment. 9 One point to note, and the relevance of this will become apparent, is that in the course of the earlier judgment I said (at [4]) that I found the applicant ""a most unsatisfactory witness"" and that I did not accept his evidence except where it accorded with other evidence which I accepted. I said that the applicant's evidence as to important events changed during the course of the proceeding, that some of his evidence was highly improbable and a good deal of his evidence was inconsistent with evidence which I accepted.",referred to
Case179,Rana v University of South Australia (No 2) [2007] FCA 941,"On 19 June 2007, I made an order that the applicant pay the respondent's costs of the proceeding on an indemnity basis: Rana v University of South Australia (No 2) [2007] FCA 941. I said the following (at [6]): In my opinion, this is an appropriate case for the award of indemnity costs. Mr Rana made allegations about payment for the tickets and what occurred at the Convention Centre which were critical to his case and he must have known were untrue. Those allegations should not have been made. He claimed that he had suffered loss and damage of $1 million but he proved no loss or damage. He altered a document, namely, a receipt, so that his case would appear stronger. These circumstances alone justify an award of indemnity costs. A further and probably independent reason for awarding indemnity costs is that he refused an offer of $400 in relation to a claim which I dismissed. In all the circumstances, it is appropriate to order that costs be paid on an indemnity basis.",referred to
Case191,Re Refugee Review Tribunal; ex parte H [2001] HCA 28 ; (2001) 179 ALR 425,"While judges of the High Court have questioned the actual suitability to private and non-curial proceedings, of the test for reasonably apprehended bias that has evolved in curial settings: see Re Refugee Review Tribunal; ex parte H [2001] HCA 28 ; (2001) 179 ALR 425 at [27] - [28] ; it is that ""double might"" test that is to be applied, albeit with the understanding that the hypothetical fair-minded lay observer in question requires some informed appreciation of the nature of the processes and proceeding of the body whose judgment is being called into question. The test to be applied is whether a fair-minded lay observer might reasonably apprehend that the Tribunal member might not have brought an impartial mind to the resolution of the question to be decided: Ebner , at [6].",cited
Case193,Minister for Immigration and Ethnic Affairs v Wu Shan Liang [1996] HCA 6 ; (1996) 185 CLR 259,"Because, as will be seen, the application of this test in this matter does require an examination, amongst other things of the Tribunal's reasons, it is important to emphasise that the lay observer would be scrutinising those reasons through a quite different prism and by reference to a quite different contingency, than a judge would be when scrutinising a decision-maker's reasons for decision for the purpose of discerning an error justifying judicial review: cf Minister for Immigration and Ethnic Affairs v Wu Shan Liang [1996] HCA 6 ; (1996) 185 CLR 259 at 271-272. To say this is not to accord the hypothetical observer licence to indulge in implausible or improbable interpretations of reasons for decision. The lay observer is expected first and foremost to be ""fair minded"".",cited
Case194,Vakauta v Kelly [1989] HCA 44 ; (1989) 167 CLR 568,"While the evidence in the matter is that the Tribunal member who issued the listening device warrant was named in an AFP statement of facts given to the applicant in August 2008, it has not been suggested that he was aware at the time of the Tribunal hearing that the member hearing the review application was the person who issued the warrant. Neither did the Tribunal member disclose that fact if he was then actually aware of it. In consequence, and counsel for the Minister accepted, there was no issue of waiver of bias in this matter: see Vakauta v Kelly [1989] HCA 44 ; (1989) 167 CLR 568 at 572-573; see also Shingles v Defence Force Retirement and Death Benefits Authority [2009] FCA 1211.",cited
Case201,Re Minister for Immigration and Multicultural and Indigenous Affairs; ex parte Lam [2003] HCA 6 ; (2003) 214 CLR 1,"Whatever may have been the Tribunal's obligation to Mr Islam in relation to the charge prior to the second of the above comments, the charge thereafter was not itself an issue potentially prejudicial to Mr Islam on the review. He could suffer no ""practical injustice"": Re Minister for Immigration and Multicultural and Indigenous Affairs; ex parte Lam [2003] HCA 6 ; (2003) 214 CLR 1 at [38] ; ""[he] lost no opportunity to advance his case"": ibid. The marginalisation of the charge did not in any way impede Mr Islam from advancing positive reasons for why the Tribunal's discretion should be exercised in his favour. He was not denied procedural fairness.",applied
Case202,Kowalski v MMAL Staff Superannuation Fund Pty Ltd (2009) 178 FCR 401,"Kowalski v MMAL Staff Superannuation Fund Pty Ltd (2009) 178 FCR 401 the Full Court examined the origins, meaning and effect of s 31A of the FCA Act. The Full Court stated (at 408, [25]): The effect of s 31A was to soften the test for a successful application for summary judgment as stated by the High Court in Theseus Exploration NL v Foyster [1972] HCA 41 ; (1972) 126 CLR 507 ... and also the test for a successful application for summary dismissal as stated by Dixon J, as his Honour then was, in Dey v Victorian Railways Commissioners [1949] HCA 1 ; (1949) 78 CLR 62 and by Barwick CJ in General Steel Industries Inc v Cmr for Railways (NSW) [1964] HCA 69 ; (1964) 112 CLR 125.... See also Jefferson Ford Pty Ltd v Ford Motor Co of Australia Ltd [2008] FCAFC 60 ; (2008) 167 FCR 372 at [45] , [57], [63], [124].",followed
Case206,Australian Institute of Private Detectives Ltd v Privacy Commissioner [2004] FCA 1440 ; (2004) 139 FCR 394,"and Delhi Petroleum contend that there is an absence of any pleading in this case of material facts giving rise to a specific dispute. In that absence, they submit, is to be found a crucial difference between a ""matter"", albeit one arising in respect of conduct yet to take place, in which declaratory relief may permissibly be sought in the exercise of Federal jurisdiction and the seeking of such relief on a purely hypothetical basis. An example of the presence of such a difference telling against the existence of jurisdiction is, they submit, to be found in Australian Institute of Private Detectives Ltd v Privacy Commissioner [2004] FCA 1440 ; (2004) 139 FCR 394 ( Private Detectives Case ).",considered
Case208,Truth About Motorways Pty Ltd v Macquarie Infrastructure Investment Management Ltd (2000) 200 CLR 591,"unlike in Truth About Motorways Pty Ltd v Macquarie Infrastructure Investment Management Ltd (2000) 200 CLR 591 , the Applicants do not have the benefit of any provision affording them any particular standing to seek any of the relief claimed in the application. While the position would be different if they had the benefit of a native title determination in their favour or even if the relief were sought in the context of an application for a determination of native title, the Applicants are strangers to any dealings between the State and Santos and Delhi Petroleum with respect to the granting of a particular petroleum lease. Their mere status as a registered native title claimant does not, in my opinion, give them standing to claim any of the relief sought, including any part which relies only on State law.",distinguished
